Cage Barcode,Cage Function,Cage Type,Colony,Project Licence,Number Of Animals (175),Last Validated,Room,Condition,time,Cleaned,sexed,weaned,comments
C00670459,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,03:15,1,0,1,Spliting
C00665640,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,00:23,0,0,0,
C00664585,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),3,Never,7,1,00:24,0,0,0,
C00648402,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),7,Never,7,1,00:22,0,0,0,
c00655285,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:27,0,0,0,
C00667775,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),4,Never,7,1,00:22,0,0,0,
C00643644,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),2,Never,7,1,00:40,0,0,0,cleaned balcony
C00670474,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:23,0,0,0,
C00665647,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),1,Never,7,1,00:19,0,0,0,
C00667776,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:23,0,0,0,
C00665648,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),5,Never,7,1,00:23,0,0,0,
C00646317,Mating,Standard Cage,DAAY,Anastasiou PP0954230 (DA),2,Never,1,0,03:54,1,0,0,MCMS adding
C00657193,Stock,Standard Cage,DAAY,Anastasiou PP0954230 (DA),2,Never,1,0,00:24,0,0,0,
C00655994,Stock,Standard Cage,DAAY,Anastasiou PP0954230 (DA),4,Never,1,0,00:20,0,0,0,
C00648318,Mating,Standard Cage,DABB,Anastasiou PP0954230 (DA),2,Never,1,0,00:40,1,0,0,
C00654674,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),1,Never,1,0,00:10,0,0,0,
C00654678,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),1,Never,1,0,00:13,0,0,0,
C00646894,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),5,Never,1,0,00:45,1,0,0,
C00615675,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),1,Never,1,0,00:12,0,0,0,
C00656053,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),2,Never,1,0,00:26,0,0,0,
C00623313,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),3,Never,1,0,00:52,1,0,0,balcony collection
C00657218,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),1,Never,1,0,00:25,0,0,0,checking fight wounds
C00638474,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),1,Never,1,0,00:12,0,0,0,
C00662548,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:12,0,0,0,
C00667709,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),4,Never,1,0,00:17,0,0,0,
C00656036,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:31,0,0,0,
C00656037,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:11,0,0,0,
C00640627,Stock,Standard Cage,BRAM,Boulton PP1362096 (SB),1,Never,1,1,00:22,0,0,0,
C00644755,Mating,Standard Cage,SBER,Boulton PP1362096 (SB),2,Never,1,1,02:33,1,1,0,
C00636429,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:14,0,0,0,
C00638169,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),2,Never,1,1,00:19,0,0,0,
C00667738,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,00:38,1,0,0,
C00632886,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:23,0,0,0,
C00657197,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,00:22,0,0,0,
C00657242,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),3,Never,1,1,00:28,0,0,0,
C00669284,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),3,Never,1,1,00:29,0,0,0,
C00644757,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:13,0,0,0,
C00662384,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,00:17,0,0,0,
C00657243,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,00:28,0,0,0,
C00637708,Mating,Standard Cage,SBEU,Boulton PP1362096 (SB),2,Never,1,1,00:25,0,0,0,
C00637707,Mating,Standard Cage,SBEU,Boulton PP1362096 (SB),11,Never,1,1,01:51,1,1,0,scruffed
C00664197,Stock,Standard Cage,SBEU,Boulton PP1362096 (SB),4,Never,1,1,00:23,0,0,0,
C00664196,Stock,Standard Cage,SBEU,Boulton PP1362096 (SB),3,Never,1,1,00:22,0,0,0,
